Label (Grouping),"Adams County, Colorado","Alamosa County, Colorado","Arapahoe County, Colorado","Archuleta County, Colorado","Baca County, Colorado","Bent County, Colorado","Boulder County, Colorado","Broomfield County, Colorado","Chaffee County, Colorado","Cheyenne County, Colorado","Clear Creek County, Colorado","Conejos County, Colorado","Costilla County, Colorado","Crowley County, Colorado","Custer County, Colorado","Delta County, Colorado","Denver County, Colorado","Dolores County, Colorado","Douglas County, Colorado","Eagle County, Colorado","Elbert County, Colorado","El Paso County, Colorado","Fremont County, Colorado","Garfield County, Colorado","Gilpin County, Colorado","Grand County, Colorado","Gunnison County, Colorado","Hinsdale County, Colorado","Huerfano County, Colorado","Jackson County, Colorado","Jefferson County, Colorado","Kiowa County, Colorado","Kit Carson County, Colorado","Lake County, Colorado","La Plata County, Colorado","Larimer County, Colorado","Las Animas County, Colorado","Lincoln County, Colorado","Logan County, Colorado","Mesa County, Colorado","Mineral County, Colorado","Moffat County, Colorado","Montezuma County, Colorado","Montrose County, Colorado","Morgan County, Colorado","Otero County, Colorado","Ouray County, Colorado","Park County, Colorado","Phillips County, Colorado","Pitkin County, Colorado","Prowers County, Colorado","Pueblo County, Colorado","Rio Blanco County, Colorado","Rio Grande County, Colorado","Routt County, Colorado","Saguache County, Colorado","San Juan County, Colorado","San Miguel County, Colorado","Sedgwick County, Colorado","Summit County, Colorado","Teller County, Colorado","Washington County, Colorado","Weld County, Colorado","Yuma County, Colorado"
Total:,519572.00,16376.00,655070.00,13359.00,3506.00,5650.00,330758.00,74112.00,19476.00,1748.00,9397.00,7461.00,3499.00,5922.00,4704.00,31196.00,715522.00,2326.00,357978.00,55731.00,26062.00,730395.00,48939.00,61685.00,5808.00,15717.00,16918.00,788.00,6820.00,1379.00,582910.00,1446.00,7087.00,7436.00,55638.00,359066.00,14555.00,5675.00,21528.00,155703.00,865.00,13292.00,25849.00,42679.00,29111.00,18690.00,4874.00,17390.00,4530.00,17358.00,11999.00,168162.00,6529.00,11539.00,24829.00,6368.00,705.00,8072.00,2404.00,31055.00,24710.00,4817.00,328981.00,9988.00
    Population of one race:,"428,280","13,470","572,238","11,761","3,274","5,163","297,757","66,010","18,106","1,636","8,702","6,318","2,507","5,542","4,446","28,569","618,764","2,125","324,079","47,813","23,900","636,888","45,546","53,445","5,348","14,757","15,744",730,"5,800","1,267","519,938","1,324","6,372","6,323","50,626","325,346","12,351","5,311","20,026","140,549",801,"11,949","23,646","38,397","25,153","15,873","4,553","16,027","4,075","16,119","10,468","138,478","6,079","9,825","23,004","5,071",628,"7,487","2,220","28,429","22,505","4,473","283,696","8,937"
        White alone,"289,718","10,069","396,027","10,749","3,043","3,831","255,983","56,334","16,693","1,534","8,323","5,045","1,827","3,747","4,279","26,117","433,946","2,021","289,005","39,594","22,817","516,911","39,965","42,038","5,077","13,772","14,652",706,"4,997","1,199","460,764","1,290","5,649","4,996","44,366","295,995","10,035","4,397","17,261","127,970",789,"10,872","18,958","33,395","19,184","12,847","4,396","15,318","3,500","14,797","8,131","108,805","5,699","8,093","21,726","4,209",606,"6,922","2,062","24,751","21,566","4,230","231,892","7,437"
        Black or African American alone,"17,463",251,"70,787",41,26,256,"3,393",989,296,1,52,27,40,517,11,145,"64,038",18,"5,160",340,123,"43,822","1,848",335,38,64,88,8,65,0,"7,356",4,24,38,205,"3,815",211,275,765,"1,151",3,77,80,181,975,165,16,94,19,106,109,"3,642",34,61,156,20,3,21,5,247,135,32,"4,539",22
        American Indian and Alaska Native alone,"9,520",709,"6,820",240,42,162,"2,509",435,185,13,73,167,66,180,53,294,"10,601",42,"1,820",497,182,"7,519",850,870,59,80,203,6,175,14,"6,039",0,45,157,"3,342","2,878",367,75,231,"1,723",6,155,"3,342",577,404,376,16,167,52,76,275,"3,867",58,288,116,192,6,92,19,253,182,20,"4,274",73
        Asian alone,"23,268",180,"42,472",105,13,52,"16,450","5,146",137,4,83,21,56,74,23,243,"27,875",6,"20,064",727,187,"22,471",338,411,94,90,122,3,31,2,"18,157",9,31,67,397,"8,538",116,47,128,"1,676",3,54,143,338,157,101,28,104,22,290,31,"1,730",22,42,176,63,2,55,12,418,212,19,"5,857",34
        Native Hawaiian and Other Pacific Islander alone,925,19,"1,777",6,0,0,274,89,13,0,9,2,0,2,0,9,"1,531",4,345,47,22,"3,091",30,40,4,17,7,1,0,2,536,1,10,8,36,325,19,24,23,208,0,2,28,36,11,28,4,9,2,14,6,208,2,9,38,2,0,2,1,32,12,14,365,6
        Some Other Race alone,"87,386","2,242","54,355",620,150,862,"19,148","3,017",782,84,162,"1,056",518,"1,022",80,"1,761","80,773",34,"7,685","6,608",569,"43,074","2,515","9,751",76,734,672,6,532,50,"27,086",20,613,"1,057","2,280","13,795","1,603",493,"1,618","7,821",0,789,"1,095","3,870","4,422","2,356",93,335,480,836,"1,916","20,226",264,"1,332",792,585,11,395,121,"2,728",398,158,"36,769","1,365"
    Population of two or more races:,"91,292","2,906","82,832","1,598",232,487,"33,001","8,102","1,370",112,695,"1,143",992,380,258,"2,627","96,758",201,"33,899","7,918","2,162","93,507","3,393","8,240",460,960,"1,174",58,"1,020",112,"62,972",122,715,"1,113","5,012","33,720","2,204",364,"1,502","15,154",64,"1,343","2,203","4,282","3,958","2,817",321,"1,363",455,"1,239","1,531","29,684",450,"1,714","1,825","1,297",77,585,184,"2,626","2,205",344,"45,285","1,051"
        Population of two races:,"86,938","2,770","77,061","1,479",210,453,"31,322","7,634","1,286",92,649,"1,077",952,341,237,"2,517","90,815",180,"31,737","7,718","2,024","85,752","3,214","7,952",403,897,"1,094",40,955,92,"59,359",98,688,"1,042","4,702","31,873","2,076",315,"1,445","14,365",47,"1,303","2,082","4,106","3,841","2,643",308,"1,286",419,"1,182","1,487","27,942",407,"1,624","1,755","1,234",65,545,162,"2,531","2,098",320,"43,386","1,018"
            White; Black or African American,"3,773",75,"8,844",44,12,27,"1,927",472,57,13,28,13,27,11,24,103,"6,845",3,"2,674",139,131,"11,337",204,204,17,26,42,2,16,3,"3,502",9,22,16,190,"2,350",38,10,71,788,4,73,122,136,102,67,10,61,13,76,50,"1,281",13,36,74,5,0,28,6,107,129,13,"1,687",18
            White; American Indian and Alaska Native,"7,962",335,"7,902",353,121,141,"3,845","1,032",357,29,178,89,79,88,94,664,"7,755",78,"4,825",487,531,"14,253","1,106","1,066",134,192,293,8,181,27,"9,883",36,146,168,"1,359","6,241",318,128,280,"3,508",20,291,746,870,442,372,83,405,50,120,316,"3,566",151,217,306,151,13,118,33,336,644,110,"5,501",98
            White; Asian,"4,541",71,"8,574",67,0,14,"4,951","1,254",113,2,67,1,17,11,3,110,"8,533",3,"5,829",309,229,"11,270",111,282,33,71,92,6,29,4,"6,569",2,16,36,313,"3,728",51,14,74,"1,040",2,50,101,161,77,69,25,109,6,141,6,791,17,28,163,13,0,35,13,255,167,4,"2,358",8
            White; Native Hawaiian and Other Pacific Islander,372,13,532,0,0,0,206,53,11,0,0,0,3,0,6,9,417,3,389,30,21,"1,197",41,39,3,14,2,2,2,2,448,0,4,4,32,321,13,4,12,156,3,11,23,34,3,3,2,4,0,8,2,130,3,9,36,6,0,6,0,14,21,1,261,2
